img,name,price,discount
https://cdn.shopclues.com/images/thumbnails/78698/200/200/115371077black14836957191484756588148475674514909406981500462289.jpg,"Ziox Quik Flash (1GB + 8GB, 4G VoLTE, 5 inch, 5MP Camera, 2450 mAh Battery)","<span class=""p_price"">Rs.3499</span>","<span class=""prd_discount"">42% Off</span>"
https://cdn.shopclues.com/images/thumbnails/63824/200/200/1stImage1490692045.jpg,"iVoomi iV Smart (512 MB + 4GB, 4G VoLTE, 4 inch, 2 MP Camera, 1800 mAh Battery)","<span class=""p_price"">Rs.2899</span>","<span class=""prd_discount"">19% Off</span>"
https://cdn.shopclues.com/images/thumbnails/71370/200/200/119185829frontgold1485335506148534485114863987251494996971.png,"Samsung Galaxy C9 Pro (6 GB,64 GB,Gold)","<span class=""p_price"">Rs.31900</span>","<span class=""prd_discount"">18% Off</span>"
https://cdn.shopclues.com/images/thumbnails/39289/200/200/94481600panasonicelugai2eb90s5oey2400x400imaeb79hzkt3gjpe14642585611466246360.jpg,"Panasonic Eluga i2 (2 GB,16 GB,Silver)","<span class=""p_price"">Rs.6649</span>","<span class=""prd_discount"">26% Off</span>"
https://cdn.shopclues.com/images/thumbnails/41481/200/200/81OZSV2LusL1469019919.jpg,Moto E XT1506 2nd Gen 8GB - (6 Months Gadgetwood warranty),"<span class=""p_price"">Rs.5199</span>","<span class=""prd_discount"">69% Off</span>"
https://cdn.shopclues.com/images/thumbnails/51885/200/200/black148369571914847565881484756745.jpg,"Ziox Astra Dual Sim (4G VoLTE ,1GB RAM, 8GB )","<span class=""p_price"">Rs.4299</span>","<span class=""prd_discount"">20% Off</span>"
https://cdn.shopclues.com/images/thumbnails/78559/200/200/12381082298817784214n4d7vw0L15003013421500380424.jpg,Lyf Water 8,"<span class=""p_price"">Rs.10999</span>","<span class=""prd_discount"">43% Off</span>"
https://cdn.shopclues.com/images/thumbnails/43826/200/200/Xiaomi1488262506.jpg,Xiaomi Redmi Note 3 16GB (2GB RAM) - (6 months Seller Warranty),"<span class=""p_price"">Rs.10449</span>","<span class=""prd_discount"">16% Off</span>"
https://cdn.shopclues.com/images/thumbnails/84337/200/200/9596670551201553211PM635xiaomimi4i1505896088.jpg,Xiaomi Mi4i 16GB /4G Phone- (6 Months Seller Warranty),"<span class=""p_price"">Rs.7199</span>","<span class=""prd_discount"">28% Off</span>"
https://cdn.shopclues.com/images/thumbnails/85010/200/200/97264960LeEcoLe2X52632GBGreySDL19958608070d7fd1506194599.jpg,"Letv Le 2 3GB,32 GB - (6 months Brand Warranty)","<span class=""p_price"">Rs.8899</span>","<span class=""prd_discount"">26% Off</span>"
https://cdn.shopclues.com/images/thumbnails/58178/200/200/109963647EliteNoteFront1494229197.jpg,"Swipe Elite Note (3GB + 16GB, 4G VoLTE, 5.5 inch, 13MP Camera, 3000 mAh Battery)","<span class=""p_price"">Rs.6599</span>","<span class=""prd_discount"">18% Off</span>"
https://cdn.shopclues.com/images/thumbnails/78279/200/200/107858485Swipekonnectstar1500028884.jpg,"Swipe Konnect Star (1GB + 16GB, 4G VoLTE, 4 inch, 5MP Camera, 1800 mAh Battery)","<span class=""p_price"">Rs.3333</span>","<span class=""prd_discount"">26% Off</span>"
https://cdn.shopclues.com/images/thumbnails/42834/200/200/96997230G4Plus1493192149.jpg,Moto G plus 4th Gen 32GB - (6 Months seller Warranty),"<span class=""p_price"">Rs.11599</span>","<span class=""prd_discount"">15% Off</span>"
https://cdn.shopclues.com/images/thumbnails/36526/200/200/918087791492103456.jpg,Lenovo K3 Note 16GB  /Excellent Condition- (6 Months Seller Warranty),"<span class=""p_price"">Rs.6749</span>","<span class=""prd_discount"">33% Off</span>"
