img,name,price,discount,images
https://cdn.shopclues.com/images/thumbnails/78698/200/200/115371077black14836957191484756588148475674514909406981500462289.jpg,"Ziox Quik Flash (1GB + 8GB, 4G VoLTE, 5 inch, 5MP Camera, 2450 mAh Battery)",Rs.3499,42% Off,
https://cdn.shopclues.com/images/thumbnails/63824/200/200/1stImage1490692045.jpg,"iVoomi iV Smart (512 MB + 4GB, 4G VoLTE, 4 inch, 2 MP Camera, 1800 mAh Battery)",Rs.2899,19% Off,
https://cdn.shopclues.com/images/thumbnails/71370/200/200/119185829frontgold1485335506148534485114863987251494996971.png,"Samsung Galaxy C9 Pro (6 GB,64 GB,Gold)",Rs.31900,18% Off,
https://cdn.shopclues.com/images/thumbnails/39289/200/200/94481600panasonicelugai2eb90s5oey2400x400imaeb79hzkt3gjpe14642585611466246360.jpg,"Panasonic Eluga i2 (2 GB,16 GB,Silver)",Rs.6649,26% Off,
https://cdn.shopclues.com/images/thumbnails/41481/200/200/81OZSV2LusL1469019919.jpg,Moto E XT1506 2nd Gen 8GB - (6 Months Gadgetwood warranty),Rs.5199,69% Off,
https://cdn.shopclues.com/images/thumbnails/51885/200/200/black148369571914847565881484756745.jpg,"Ziox Astra Dual Sim (4G VoLTE ,1GB RAM, 8GB )",Rs.4299,20% Off,
https://cdn.shopclues.com/images/thumbnails/78559/200/200/12381082298817784214n4d7vw0L15003013421500380424.jpg,Lyf Water 8,Rs.10999,43% Off,
https://cdn.shopclues.com/images/thumbnails/43826/200/200/Xiaomi1488262506.jpg,Xiaomi Redmi Note 3 16GB (2GB RAM) - (6 months Seller Warranty),Rs.10449,16% Off,
https://cdn.shopclues.com/images/thumbnails/84337/200/200/9596670551201553211PM635xiaomimi4i1505896088.jpg,Xiaomi Mi4i 16GB /4G Phone- (6 Months Seller Warranty),Rs.7199,28% Off,
https://cdn.shopclues.com/images/thumbnails/85010/200/200/97264960LeEcoLe2X52632GBGreySDL19958608070d7fd1506194599.jpg,"Letv Le 2 3GB,32 GB - (6 months Brand Warranty)",Rs.8899,26% Off,
